UCONNCrossID,CrossNum.,Crosses,FG,MG,Category,"CrossingDate(Oct.6,7,8)",Crosser,CrossStatus,Notes,Check 11/2-5,Healthheck 11/2-5,Check 10/26 (1-192) 10/27(194- ),Health 10/26,Check 10/19-20,Health 10/19-20,Painting Date,SP number per 1 ml estimation on paint day,,Media Change 1,Media Change 2,Media Change 3?,Post-paint  development,Post-paint  density,Comments
GOM259,259,SL18-CC-9-FG1xSL18-OI-11-MG2,SL18-CC-9-FG1,SL18-OI-11-MG2,Extra,7,Scott,Y,,Painted,,SP_300,,EmbrSp,,10/27/2020,144,,11/10/2020,11/24/2020,12/8/2020,SP,HD,
GOM264,264,SL18-JS-16-FG1xSL18-CC-2-MG6,SL18-JS-16-FG1,SL18-CC-2-MG6,Extra,8,Michael,Y,,Painted,,SP_300,,EmbrSp,,10/27/2020,121,,11/10/2020,11/24/2020,12/8/2020,SP,MD,
GOM265,265,SL18-JS-16-FG1xSL18-CC-7-MG1,SL18-JS-16-FG1,SL18-CC-7-MG1,Extra,8,Michael,Y,,Painted,,SP_300,,EmbrSp,,10/27/2020,41,,11/10/2020,11/24/2020,12/8/2020,SP,MD,
GOM266,266,SL18-JS-16-FG1xSL18-CC-7-MG2,SL18-JS-16-FG1,SL18-CC-7-MG2,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,127,,11/12/2020,11/26/2020,12/10/2020,SP,LD,
GOM267,267,SL18-JS-16-FG1xSL18-OI-18-MG3,SL18-JS-16-FG1,SL18-OI-18-MG3,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,87,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM268,268,SL18-JS-16-FG1xSL18-OI-18-MG4,SL18-JS-16-FG1,SL18-OI-18-MG4,Extra,8,Michael,Y,,Painted,,SP_100,,EmbrSp,,10/29/2020,81,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM270,270,SL18-JS-19-FG2xSL18-LD-1-MG3,SL18-JS-19-FG2,SL18-LD-1-MG3,Extra,7,Scott,Y,,GP,,GP,not healthy,GP,not healthy,11/5/2020,22,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM271,271,SL18-JS-19-FG2xSL18-CC-11-MG6,SL18-JS-19-FG2,SL18-CC-11-MG6,Extra,7,Scott,Y,,GP,,GP,Almost dead,GP,not healthy,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM272,272,SL18-JS-19-FG2xSL18-OI-7-MG2,SL18-JS-19-FG2,SL18-OI-7-MG2,Extra,7,Scott,Y,,GP,,GP,not healthy,GP,not healthy,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM273,273,SL18-JS-19-FG2xSL18-LD-2-MG3,SL18-JS-19-FG2,SL18-LD-2-MG3,Extra,7,Scott,Y,,Throw away,,GP,"not healthy, green",GP,"not heatlhy, green",NA,x,,#VALUE!,#VALUE!,#VALUE!,,,
GOM274,274,SL18-JS-19-FG2xSL18-OI-7-MG1,SL18-JS-19-FG2,SL18-OI-7-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM275,275,SL18-JS-19-FG3xSL18-LD-1-MG3,SL18-JS-19-FG3,SL18-LD-1-MG3,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,,10/22/2020,108,,11/5/2020,11/19/2020,12/3/2020,LSP,HD,
GOM276,276,SL18-JS-19-FG3xSL18-UCONN-S32-MG1,SL18-JS-19-FG3,SL18-UCONN-S32-MG1,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,,10/22/2020,59,,11/5/2020,11/19/2020,12/3/2020,LSP,HD,
GOM277,277,SL18-JS-19-FG3xSL18-CC-11-MG6,SL18-JS-19-FG3,SL18-CC-11-MG6,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,3,,11/19/2020,12/3/2020,12/17/2020,LSP,HD,
GOM278,278,SL18-JS-19-FG3xSL18-OI-7-MG2,SL18-JS-19-FG3,SL18-OI-7-MG2,Extra,7,Scott,Y,,Painted,,Painted,,SP_100,,10/22/2020,43,,11/5/2020,11/19/2020,12/3/2020,LSP,HD,
GOM279,279,SL18-JS-5-FG1xSL18-CC-7-MG1,SL18-JS-5-FG1,SL18-CC-7-MG1,Extra,8,Michael,Y,,Painted,,SP_300,,EmbrSp,,10/27/2020,69,,11/10/2020,11/24/2020,12/8/2020,SP,HD,
GOM280,280,SL18-JS-5-FG1xSL18-CC-7-MG2,SL18-JS-5-FG1,SL18-CC-7-MG2,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,85,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM281,281,SL18-JS-5-FG1xSL18-OI-18-MG3,SL18-JS-5-FG1,SL18-OI-18-MG3,Extra,8,Michael,Y,,Painted,,SP_300,,EmbrSp,,10/27/2020,102,,11/10/2020,11/24/2020,12/8/2020,LSP,HD,
GOM282,282,SL18-JS-5-FG1xSL18-OI-18-MG4,SL18-JS-5-FG1,SL18-OI-18-MG4,Extra,8,Michael,Y,,Painted,,SP_100,,EmbrSp,,10/29/2020,118,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM283,283,SL18-JS-5-FG1xSL18-JS-11-MG3,SL18-JS-5-FG1,SL18-JS-11-MG3,Extra,8,Michael,Y,,Painted,,SP_300,,GP,,10/27/2020,119,,11/10/2020,11/24/2020,12/8/2020,SP,HD,
GOM284,284,SL18-JS-5-FG2xSL18-OI-11-MG2,SL18-JS-5-FG2,SL18-OI-11-MG2,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,98,,11/12/2020,11/26/2020,12/10/2020,GP,MD,
GOM285,285,SL18-JS-5-FG2xSL18-CC-2-MG6,SL18-JS-5-FG2,SL18-CC-2-MG6,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,120,,11/12/2020,11/26/2020,12/10/2020,SP,HD,
GOM286,286,SL18-JS-5-FG2xSL18-CC-7-MG1,SL18-JS-5-FG2,SL18-CC-7-MG1,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,38,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM287,287,SL18-JS-5-FG2xSL18-CC-7-MG2,SL18-JS-5-FG2,SL18-CC-7-MG2,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,89,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM288,288,SL18-JS-5-FG2xSL18-OI-18-MG3,SL18-JS-5-FG2,SL18-OI-18-MG3,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM289,289,SL18-JS-9-FG2xSL18-CC-7-MG1,SL18-JS-9-FG2,SL18-CC-7-MG1,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,2,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM290,290,SL18-JS-9-FG2xSL18-CC-7-MG2,SL18-JS-9-FG2,SL18-CC-7-MG2,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,GREEN
GOM291,291,SL18-JS-9-FG2xSL18-OI-18-MG3,SL18-JS-9-FG2,SL18-OI-18-MG3,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM292,292,SL18-JS-9-FG2xSL18-OI-18-MG4,SL18-JS-9-FG2,SL18-OI-18-MG4,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM293,293,SL18-JS-9-FG2xSL18-JS-11-MG3,SL18-JS-9-FG2,SL18-JS-11-MG3,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM294,294,SL18-NC-10-FG1xSL18-OI-11-MG2,SL18-NC-10-FG1,SL18-OI-11-MG2,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM295,295,SL18-NC-10-FG1xSL18-CC-2-MG6,SL18-NC-10-FG1,SL18-CC-2-MG6,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM296,296,SL18-NC-12-FG2xSL18-OI-9-MG3,SL18-NC-12-FG2,SL18-OI-9-MG3,Extra,7,Scott,Y,,Throw away,,GP,Green,GP,,NA,x,,#VALUE!,#VALUE!,#VALUE!,,,
GOM297,297,SL18-NC-12-FG2xSL18-OI-14-MG1,SL18-NC-12-FG2,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM298,298,SL18-NC-15-FG1xSL18-OI-18-MG1,SL18-NC-15-FG1,SL18-OI-18-MG1,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,1,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM299,299,SL18-NC-15-FG1xSL18-OI-11-MG2,SL18-NC-15-FG1,SL18-OI-11-MG2,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,4,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM301,301,SL18-NC-15-FG2xSL18-OI-18-MG1,SL18-NC-15-FG2,SL18-OI-18-MG1,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM302,302,SL18-NC-15-FG2xSL18-OI-11-MG2,SL18-NC-15-FG2,SL18-OI-11-MG2,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,12,,11/19/2020,12/3/2020,12/17/2020,SP,MD,
GOM303,303,SL18-NC-15-FG2xSL18-CC-2-MG6,SL18-NC-15-FG2,SL18-CC-2-MG6,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM304,304,SL18-NC-15-FG2xSL18-CC-7-MG1,SL18-NC-15-FG2,SL18-CC-7-MG1,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,3,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM305,305,SL18-NC-15-FG2xSL18-CC-7-MG2,SL18-NC-15-FG2,SL18-CC-7-MG2,Extra,8,Michael,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM310,310,SL18-NC-1-FG1xSL18-OI-11-MG2,SL18-NC-1-FG1,SL18-OI-11-MG2,Extra,8,Michael,Y,,SP_100,"not healthy, bacteria",EmbrSP,,GP,,11/2/2020,19,,11/16/2020,11/30/2020,12/14/2020,GP,HD,
GOM312,312,SL18-NC-5-FG2xSL18-CC-11-MG6,SL18-NC-5-FG2,SL18-CC-11-MG6,Extra,7,Scott,Y,,Throw away,,GP,"Dead, green",GP,bleached,NA,x,,#VALUE!,#VALUE!,#VALUE!,,,
GOM313,313,SL18-NC-5-FG2xSL18-LD-9-MG1,SL18-NC-5-FG2,SL18-LD-9-MG1,Extra,7,Scott,Y,,Throw away,"not healthy, bleached",GP,Dead,GP,"Almost dead, bleached",NA,x,,#VALUE!,#VALUE!,#VALUE!,,,
GOM319,319,SL18-NL-10-FG2xSL18-UCONN-S32-MG2,SL18-NL-10-FG2,SL18-UCONN-S32-MG2,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM320,320,SL18-NL-2-FG1xSL18-OI-9-MG3,SL18-NL-2-FG1,SL18-OI-9-MG3,Extra,7,Scott,Y,,GP,"not healthy, bacteria",GP,Green,GP,,11/5/2020,1,,11/19/2020,12/3/2020,12/17/2020,GP,MD,GREEN
GOM321,321,SL18-NL-2-FG1xSL18-OI-14-MG1,SL18-NL-2-FG1,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM322,322,SL18-NL-2-FG1xSL18-OI-18-MG1,SL18-NL-2-FG1,SL18-OI-18-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,2,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM325,325,SL18-NL-3-FG1xSL18-OI-9-MG3,SL18-NL-3-FG1,SL18-OI-9-MG3,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,GREEN
GOM326,326,SL18-NL-3-FG1xSL18-OI-14-MG1,SL18-NL-3-FG1,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM327,327,SL18-NL-3-FG1xSL18-OI-18-MG1,SL18-NL-3-FG1,SL18-OI-18-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM329,329,SL18-NL-6-FG2xSL18-OI-9-MG3,SL18-NL-6-FG2,SL18-OI-9-MG3,Extra,7,Scott,Y,,SP_100,,EmbrSP,,GP,,11/2/2020,11,,11/16/2020,11/30/2020,12/14/2020,GP,MD,GREEN
GOM330,330,SL18-NL-6-FG2xSL18-OI-14-MG1,SL18-NL-6-FG2,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,GREEN
GOM331,331,SL18-NL-6-FG2xSL18-OI-18-MG1,SL18-NL-6-FG2,SL18-OI-18-MG1,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,38,,11/12/2020,11/26/2020,12/10/2020,GP,MD,
GOM332,332,SL18-NL-6-FG3xSL18-OI-9-MG3,SL18-NL-6-FG3,SL18-OI-9-MG3,Extra,7,Scott,Y,,Throw away,"not healthy, green",GP,"not healthy, green",GP,,NA,x,,#VALUE!,#VALUE!,#VALUE!,,,
GOM333,333,SL18-NL-6-FG3xSL18-OI-14-MG1,SL18-NL-6-FG3,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM334,334,SL18-OI-16-FG3xSL18-LD-1-MG3,SL18-OI-16-FG3,SL18-LD-1-MG3,Extra,7,Scott,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM335,335,SL18-OI-16-FG3xSL18-CC-11-MG6,SL18-OI-16-FG3,SL18-CC-11-MG6,Extra,7,Scott,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM336,336,SL18-OI-16-FG3xSL18-LD-9-MG1,SL18-OI-16-FG3,SL18-LD-9-MG1,Extra,7,Scott,Y,,GP,not healthy ,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM337,337,SL18-UCONN-S78-FG1xSL18-OI-18-MG1,SL18-UCONN-S78-FG1,SL18-OI-18-MG1,Extra,8,Michael,Y,,Painted,,SP_100,,EmbrSp,,10/29/2020,156,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM338,338,SL18-UCONN-S78-FG1xSL18-OI-11-MG2,SL18-UCONN-S78-FG1,SL18-OI-11-MG2,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,297,,11/12/2020,11/26/2020,12/10/2020,SP,MD,
GOM339,339,SA18-CB-1-FG2xSL18-JS-19-MG1,SA8-CB-1-FG2,SL18-JS-19-MG1,Extra,6,Scott,Y,,Painted,,SP_100,,EmbrSp,,10/29/2020,20,,11/12/2020,11/26/2020,12/10/2020,GP,MD,
GOM340,340,SA18-CB-1-FG2xSL18-LD-1-MG1,SA18-CB-1-FG2,SL18-LD-1-MG1,Extra,6,Scott,Y,,Painted,,SP_100,"not healthy, biofilm",EmbrSp,not healthy,10/29/2020,26,,11/12/2020,11/26/2020,12/10/2020,GP,LD,
GOM341,341,SL-ME1-FG1xSL-ME1-MG1,SL-ME1-FG1,SL-ME1-MG1,Check1,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,11,,11/5/2020,11/19/2020,12/3/2020,SP,LD,
GOM342,342,SL-ME1-FG1xSL-ME1-MG1,SL-ME1-FG1,SL-ME1-MG1,Check2,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,5,,11/5/2020,11/19/2020,12/3/2020,LSP,LD,
GOM343,343,SL-ME1-FG1xSL-ME1-MG1,SL-ME1-FG1,SL-ME1-MG1,Check3,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,21,,11/5/2020,11/19/2020,12/3/2020,SP,MD,
GOM344,344,SL-ME1-FG1xSL-ME1-MG1,SL-ME1-FG1,SL-ME1-MG1,Check4,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,9,,11/5/2020,11/19/2020,12/3/2020,SP,MD,
GOM345,345,SL-ME1-FG1xSL-ME1-MG1,SL-ME1-FG1,SL-ME1-MG1,Check5,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,7,,11/5/2020,11/19/2020,12/3/2020,LSP,MD,
GOM346,346,SL-ME1-FG1xSL-ME1-MG1,SL-ME1-FG1,SL-ME1-MG1,Check6,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,4,,11/5/2020,11/19/2020,12/3/2020,SP,MD,
GOM347,347,SL-ME1-FG1xSL-ME1-MG1,SL-ME1-FG1,SL-ME1-MG1,Check7,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,5,,11/5/2020,11/19/2020,12/3/2020,SP,LD,
GOM348,348,SL-ME1-FG1xSL-ME2-MG2,SL-ME1-FG1,SL-ME2-MG2,Check8,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,17,,11/5/2020,11/19/2020,12/3/2020,SP,LD,
GOM349,349,SL-ME1-FG1xSL-ME2-MG2,SL-ME1-FG1,SL-ME2-MG2,Check9,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,4,,11/5/2020,11/19/2020,12/3/2020,SP,MD,
GOM350,350,SL-ME1-FG1xSL-ME2-MG2,SL-ME1-FG1,SL-ME2-MG2,Check10,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,8,,11/5/2020,11/19/2020,12/3/2020,SP,LD,
GOM351,351,SL-ME1-FG1xSL-ME2-MG2,SL-ME1-FG1,SL-ME2-MG2,Check11,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,12,,11/5/2020,11/19/2020,12/3/2020,SP,LD,
GOM352,352,SL-ME1-FG1xSL-ME2-MG2,SL-ME1-FG1,SL-ME2-MG2,Check12,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,5,,11/5/2020,11/19/2020,12/3/2020,SP,LD,
GOM353,353,SL-ME1-FG1xSL-ME2-MG2,SL-ME1-FG1,SL-ME2-MG2,Check13,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,6,,11/5/2020,11/19/2020,12/3/2020,SP,LD,
GOM354,354,SL-ME1-FG1xSL-ME2-MG2,SL-ME1-FG1,SL-ME2-MG2,Check14,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,12,,11/5/2020,11/19/2020,12/3/2020,SP,LD,
GOM355,355,SL-ME1-FG1xSL-ME2-MG2,SL-ME1-FG1,SL-ME2-MG2,Check15,8,Crystal,Y,,Painted,,Painted,,SP_300,not healthy,10/22/2020,15,,11/5/2020,11/19/2020,12/3/2020,SP,LD,
GOM356,356,SL-OI-15-FGxSL-ME1-MG1,SL-OI-15-FG,SL-ME1-MG1,Check16,8,Crystal,Y,,GP,not healthy,GP,not healthy,GP,not healthy,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM357,357,SL-OI-15-FGxSL-ME1-MG1,SL-OI-15-FG,SL-ME1-MG1,Check17,8,Crystal,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM358,358,SL-OI-15-FGxSL-ME1-MG1,SL-OI-15-FG,SL-ME1-MG1,Check18,8,Crystal,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM359,359,SL-OI-15-FGxSL-ME1-MG1,SL-OI-15-FG,SL-ME1-MG1,Check19,8,Crystal,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,1,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM360,360,SL-OI-15-FGxSL-ME1-MG1,SL-OI-15-FG,SL-ME1-MG1,Check20,8,Crystal,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM361,361,SL-OI-15-FGxSL-ME1-MG1,SL-OI-15-FG,SL-ME1-MG1,Check21,8,Crystal,Y,,GP,not healthy ,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM362,362,SL18-CC-12-FG3xSL18-OI-15-MG2,SL18-CC-12-FG3,SL18-OI-15-MG2,Spray,8,Yaoguang,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM363,363,SL18-CC-12-FG3xSL18-OI-15-MG2,SL18-CC-12-FG3,SL18-OI-15-MG2,Spray,8,Yaoguang,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM364,364,SL18-CC-3-FG2xSL18-OD-6-MG1,SL18-CC-3-FG2,SL18-OD-6-MG1,Spray,8,Yaoguang,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM365,365,SL18-CC-3-FG2xSL18-OD-6-MG1,SL18-CC-3-FG2,SL18-OD-6-MG1,Spray,8,Yaoguang,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM366,366,SL18-OI-11-FG3xSL18-CC-1-MG3,SL18-OI-11-FG3,SL18-CC-1-MG3,Spray,8,Yaoguang,Y,,Throw away,"dead, green",GP,"dead, green",GP,"not healthy, green",NA,x,,,,,,,
GOM367,367,SL18-OI-11-FG3xSL18-CC-1-MG3,SL18-OI-11-FG3,SL18-CC-1-MG3,Spray,8,Yaoguang,Y,,Throw away,"dead, green",GP,"not healthy,green",GP,,NA,x,,,,,,,
GOM368,368,SL18-OI-6-FG2xSL18-LD-2-MG2,SL18-OI-6-FG2,SL18-LD-2-MG2,Spray,8,Yaoguang,Y,,SP_100,,GP,,GP,,11/5/2020,48,,11/19/2020,12/3/2020,12/17/2020,GP,LD,GREEN
GOM369,369,SL18-OI-6-FG2xSL18-LD-2-MG2,SL18-OI-6-FG2,SL18-LD-2-MG2,Spray,8,Yaoguang,Y,,Painted,,EmbrSP,not healthy,GP,,10/29/2020,29,,11/12/2020,11/26/2020,12/10/2020,GP,LD,GREEN
GOM370,370,SL18-CC-5-FG2xSA18-CB-10-MG1,SL18-CC-5-FG2,SA18-CB-10-MG1,Spray,8,Yaoguang,Y,,Painted,,EmbrSP,not healthy,GP,,10/29/2020,47,,11/12/2020,11/26/2020,12/10/2020,GP,LD,
GOM371,371,SL18-CC-5-FG2xSA18-CB-10-MG1,SL18-CC-5-FG2,SA18-CB-10-MG1,Spray,8,Yaoguang,Y,,Painted,,EmbrSP,not healthy,GP,,10/29/2020,17,,11/12/2020,11/26/2020,12/10/2020,GP,LD,
GOM372,372,SL18-NC-10-FG1xSL18-OI-11-MG4,SL18-NC-10-FG1,SL18-OI-11-MG4,Spray,8,Yaoguang,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM373,373,SL18-OI-6-FG3xSL18-JS-6-MG1,SL18-OI-6-FG3,SL18-JS-6-MG1,Spray,8,Yaoguang,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,3,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM374,374,SL18-OI-6-FG3xSL18-JS-6-MG1,SL18-OI-6-FG3,SL18-JS-6-MG1,Spray,8,Yaoguang,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM375,375,SL-OI-6-FG-2xSA-CB-7-MG-3,SL-OI-6-FG-2,SA-CB-7-MG-3,Spray,8,Yaoguang,Y,,Painted,,SP_100,,GP,,10/29/2020,46,,11/12/2020,11/26/2020,12/10/2020,GP,LD,GREEN
GOM376,376,SL-OI-6-FG-3xSL-JS-6-MG-3,SL-OI-6-FG-3,SL-JS-6-MG-3,Spray,8,Yaoguang,Y,,GP,,GP,,GP,,11/5/2020,1,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM377,377,SL18-CB-2-FG-3xSL18-NL-9-MG2,SL18-CB-2-FG-3,SL18-NL-9-MG2,diversity,8,Yaoguang,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,1,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM378,378,SL18-OD-5-FG1xSL18-LD-2-MG2,SL18-OD-5-FG1,SL18-LD-2-MG2,diversity,8,Yaoguang,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM379,379,SL18-SF-13-FG2xSL18-JS-6-MG1,SL18-SF-13-FG2,SL18-JS-6-MG1,diversity,8,Yaoguang,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM380,380,SL18-SF-13-FG2xSL18-JS-5-MG3,SL18-SF-13-FG2,SL18-JS-5-MG3,diversity,8,Yaoguang,Y,,GP,,GP,,GP,,11/5/2020,9,,11/19/2020,12/3/2020,12/17/2020,SP,LD,
GOM381,381,SL18-SF-13-FG2xSA18-CB-3-MG3,SL18-SF-13-FG2,SA18-CB-3-MG3,diversity,8,Yaoguang,Y,,GP,,GP,,GP,,11/5/2020,7,,11/19/2020,12/3/2020,12/17/2020,GP,MD,