"","Name","Year","plotNo","Region","plotNo_Numeric","femaPar","femaParLoc","malePar","maleParLoc","Crosses","CrossLoc","line","position","block","PhotoScore","Ash"
"88","SL18-UCONN-S1","2019","2019_1","GOM","1","SA18-CB-10-FG1","CB","SL18-SF-19-MG2","SF","SA18-CB-10-FG1xSL18-SF-19-MG2","CB X SF",2,37,7,3,47.2
"32","SL19-UCONN-S53","2020","2020_53","GOM","53","SA18-CB-2-FG3","CB","SL18-CC-2-MG5","CC","SA18-CB-2-FG3xSL18-CC-2-MG5","CB X CC",1,58,10,3,40.71
"316","SL19-UCONN-S147","2020","2020_147","GOM","147","SA18-CB-2-FG3","CB","SL18-NC-9-MG1","NC","SA18-CB-2-FG3xSL18-NC-9-MG1","CB X NC",3,33,6,3,44.42
"201","SL18-UCONN-S3","2019","2019_3","GOM","3","SA18-CB-4-FG3","CB","SA18-CB-4-MG3","CB","SA18-CB-4-FG3xSA18-CB-4-MG3","CB X CB",1,51,9,3,51.65
"38","SL19-UCONN-S279","2020","2020_279","GOM","279","SA18-CB-4-FG6","CB","SL18-JS-6-MG3","JS","SA18-CB-4-FG6xSL18-JS-6-MG3","CB X JS",5,49,9,3,39.57
"3","SL18-UCONN-S5","2019","2019_5","GOM","5","SA18-CB-7-FG1","CB","SL18-LL-9-MG3","LL","SA18-CB-7-FG1xSL18-LL-9-MG3","CB X LL",2,38,7,3,51.09
"421","SL19-UCONN-S248","2020","2020_248","GOM","248","SA18-CB-9-FG1","CB","SL18-JS-19-MG1","JS","SA18-CB-9-FG1xSL18-JS-19-MG1","CB X JS",5,16,3,3,43.67
"27","SL19-UCONN-S135","2020","2020_135","GOM","135","SA18-CB-9-FG1","CB","SL18-JS-5-MG3","JS","SA18-CB-9-FG1xSL18-JS-5-MG3","CB X JS",3,20,4,2,37.63
"571","SL19-UCONN-S56","2020","2020_56","GOM","56","SA18-CB-9-FG1","CB","SL18-OI-7-MG3","OI","SA18-CB-9-FG1xSL18-OI-7-MG3","CB X OI",1,62,11,3,32.8
"413","SL19-UCONN-S240","2020","2020_240","GOM","240","SL18-CC-1-FG1","CC","SL18-NC-15-MG3","NC","SL18-CC-1-FG1xSL18-NC-15-MG3","CC X NC",5,8,2,3,43.49
"12","SL19-UCONN-S162","2020","2020_162","GOM","162","SL18-CC-1-FG1","CC","SL18-OI-16-MG3","OI","SL18-CC-1-FG1xSL18-OI-16-MG3","CC X OI",3,49,9,3,41.49
"326","SL19-UCONN-S157","2020","2020_157","GOM","157","SL18-CC-1-FG2","CC","SL18-OI-16-MG3","OI","SL18-CC-1-FG2xSL18-OI-16-MG3","CC X OI",3,43,8,2,42.13
"608","SL19-UCONN-S90","2020","2020_90","GOM","90","SL18-CC-10-FG4","CC","SL18-NC-2-MG2","NC","SL18-CC-10-FG4xSL18-NC-2-MG2","CC X NC",2,36,6,3,39.99
"15","SL19-UCONN-S121","2020","2020_121","GOM","121","SL18-CC-11-FG3","CC","SA18-CB-3-MG3","CB","SL18-CC-11-FG3xSA18-CB-3-MG3","CC X CB",3,5,1,3,42.79
"24","SL19-UCONN-S12","2020","2020_12","GOM","12","SL18-CC-11-FG3","CC","SL18-CC-3-MG1","CC","SL18-CC-11-FG3xSL18-CC-3-MG1","CC X CC",1,13,3,2,40.75
"356","SL19-UCONN-S189","2020","2020_189","GOM","189","SL18-CC-11-FG3","CC","SL18-NC-2-MG3","NC","SL18-CC-11-FG3xSL18-NC-2-MG3","CC X NC",4,17,3,3,46.26
"593","SL19-UCONN-S77","2020","2020_77","GOM","77","SL18-CC-12-FG2","CC","SL18-LL-9-MG4","LL","SL18-CC-12-FG2xSL18-LL-9-MG4","CC X LL",2,22,4,3,50.9
"358","SL19-UCONN-S190","2020","2020_190","GOM","190","SL18-CC-12-FG2","CC","SL18-OI-15-MG2","OI","SL18-CC-12-FG2xSL18-OI-15-MG2","CC X OI",4,18,3,3,40.61
"458","SL19-UCONN-S283","2020","2020_283","GOM","283","SL18-CC-3-FG1","CC","SL18-JS-11-MG2","JS","SL18-CC-3-FG1xSL18-JS-11-MG2","CC X JS",5,54,9,2,29.37
"346","SL19-UCONN-S179","2020","2020_179","GOM","179","SL18-CC-3-FG1","CC","SL18-JS-5-MG2","JS","SL18-CC-3-FG1xSL18-JS-5-MG2","CC X JS",4,6,1,3,45.31
"322","SL19-UCONN-S152","2020","2020_152","GOM","152","SL18-CC-3-FG1","CC","SL18-JS-6-MG3","JS","SL18-CC-3-FG1xSL18-JS-6-MG3","CC X JS",3,38,7,3,42.72
"23","SL19-UCONN-S160","2020","2020_160","GOM","160","SL18-CC-3-FG2","CC","SA18-CB-10-MG3","CB","SL18-CC-3-FG2xSA18-CB-10-MG3","CC X CB",3,47,8,3,42.6
"348","SL19-UCONN-S180","2020","2020_180","GOM","180","SL18-CC-3-FG2","CC","SL18-OD-6-MG1","OD","SL18-CC-3-FG2xSL18-OD-6-MG1","CC X OD",4,8,2,3,42.33
"286","SL19-UCONN-S113","2020","2020_113","GOM","113","SL18-CC-5-FG2","CC","SA18-CB-10-MG1","CB","SL18-CC-5-FG2xSA18-CB-10-MG1","CC X CB",2,60,10,3,38.97
"16","SL19-UCONN-S143","2020","2020_143","GOM","143","SL18-CC-5-FG3","CC","SL18-JS-5-MG2","JS","SL18-CC-5-FG3xSL18-JS-5-MG2","CC X JS",3,29,5,3,40.33
"292","SL19-UCONN-S119","2020","2020_119","GOM","119","SL18-CC-5-FG3","CC","SL18-OI-14-MG1","OI","SL18-CC-5-FG3xSL18-OI-14-MG1","CC X OI",3,3,1,3,43.1
"429","SL19-UCONN-S255","2020","2020_255","GOM","255","SL18-CC-6-FG3","CC","SL18-OI-14-MG2","OI","SL18-CC-6-FG3xSL18-OI-14-MG2","CC X OI",5,23,4,2,42.74
"573","SL19-UCONN-S58","2020","2020_58","GOM","58","SL18-CC-8-FG1","CC","SL18-NC-8-MG2","NC","SL18-CC-8-FG1xSL18-NC-8-MG2","CC X NC",2,1,1,2,35.47
"377","SL19-UCONN-S207","2020","2020_207","GOM","207","SL18-CC-8-FG1","CC","SL18-OI-7-MG1","OI","SL18-CC-8-FG1xSL18-OI-7-MG1","CC X OI",4,35,6,2,40.34
"19","SL19-UCONN-S172","2020","2020_172","GOM","172","SL18-CC-8-FG2","CC","SL18-JS-5-MG3","JS","SL18-CC-8-FG2xSL18-JS-5-MG3","CC X JS",3,60,10,3,40.7
"371","SL19-UCONN-S201","2020","2020_201","GOM","201","SL18-CC-8-FG2","CC","SL18-LD-9-MG1","LD","SL18-CC-8-FG2xSL18-LD-9-MG1","CC X LD",4,29,5,3,39.57
"385","SL19-UCONN-S215","2020","2020_215","GOM","215","SL18-CC-9-FG3","CC","SL18-JS-9-MG3","JS","SL18-CC-9-FG3xSL18-JS-9-MG3","CC X JS",4,43,8,2,42.32
"300","SL19-UCONN-S128","2020","2020_128","GOM","128","SL18-JS-16-FG1","JS","SL18-CC-4-MG11","CC","SL18-JS-16-FG1xSL18-CC-4-MG11","JS X CC",3,13,3,2,39.75
"439","SL19-UCONN-S264","2020","2020_264","GOM","264","SL18-JS-16-FG3","JS","SA18-CB-4-MG3","CB","SL18-JS-16-FG3xSA18-CB-4-MG3","JS X CB",5,33,6,2,42.7
"273","SL19-UCONN-S101","2020","2020_101","GOM","101","SL18-JS-16-FG3","JS","SL18-NC-10-MG3","NC","SL18-JS-16-FG3xSL18-NC-10-MG3","JS X NC",2,48,8,2,41.26
"331","SL19-UCONN-S163","2020","2020_163","GOM","163","SL18-JS-16-FG3","JS","SL18-OD-6-MG2","OD","SL18-JS-16-FG3xSL18-OD-6-MG2","JS X OD",3,50,9,2,37.05
"438","SL19-UCONN-S263","2020","2020_263","GOM","263","SL18-JS-5-FG1","JS","SA18-CB-1-MG12","CB","SL18-JS-5-FG1xSA18-CB-1-MG12","JS X CB",5,32,6,2,40.83
"30","SL19-UCONN-S140","2020","2020_140","GOM","140","SL18-JS-5-FG1","JS","SL18-LD-2-MG4","LD","SL18-JS-5-FG1xSL18-LD-2-MG4","JS X LD",3,26,5,2,39.71
"605","SL19-UCONN-S88","2020","2020_88","GOM","88","SL18-JS-5-FG2","JS","SL18-OI-5-MG3","OI","SL18-JS-5-FG2xSL18-OI-5-MG3","JS X OI",2,34,6,2,38.62
"558","SL19-UCONN-S43","2020","2020_43","GOM","43","SL18-JS-9-FG3","JS","SA18-CB-10-MG1","CB","SL18-JS-9-FG3xSA18-CB-10-MG1","JS X CB",1,47,8,2,37.06
"11","SL18-UCONN-S17","2019","2019_17","GOM","17","SL18-LD-1-FG1","LD","SL18-NL-2-MG2","NL","SL18-LD-1-FG1xSL18-NL-2-MG2","LD X NL",3,4,1,3,43.75
"178","SL18-UCONN-S19","2019","2019_19","GOM","19","SL18-LD-1-FG2","LD","SA18-CB-4-MG3","CB","SL18-LD-1-FG2xSA18-CB-4-MG3","LD X CB",3,16,3,3,47.9
"195","SL18-UCONN-S24","2019","2019_24","GOM","24","SL18-LD-1-FG3","LD","SL18-OI-11-MG2","OI","SL18-LD-1-FG3xSL18-OI-11-MG2","LD X OI",2,16,3,3,45.74
"89","SL18-UCONN-S10","2019","2019_10","GOM","10","SL18-LD-10-FG1","LD","SL18-OI-4-MG1","OI","SL18-LD-10-FG1xSL18-OI-4-MG1","LD X OI",3,53,9,3,44.57
"99","SL18-UCONN-S11","2019","2019_11","GOM","11","SL18-LD-10-FG2","LD","SA18-CB-7-MG2","CB","SL18-LD-10-FG2xSA18-CB-7-MG2","LD X CB",2,36,6,3,51.32
"130","SL18-UCONN-S14","2019","2019_14","GOM","14","SL18-LD-13-FG2","LD","SL18-LD-13-MG2","LD","SL18-LD-13-FG2xSL18-LD-13-MG2","LD X LD",1,27,5,3,47.41
"288","SL19-UCONN-S115","2020","2020_115","GOM","115","SL18-LD-13-FG2","LD","SL18-LD-13-MG2","LD","SL18-LD-13-FG2xSL18-LD-13-MG2","LD X LD",2,62,11,2,34.39
"205","SL18-UCONN-S33","2019","2019_33","GOM","33","SL18-LD-2-FG2","LD","SL18-LL-9-MG2","LL","SL18-LD-2-FG2xSL18-LL-9-MG2","LD X LL",2,6,1,3,47.27
"207","SL18-UCONN-S35","2019","2019_35","GOM","35","SL18-LD-2-FG2","LD","SL18-SF-19-MG1","SF","SL18-LD-2-FG2xSL18-SF-19-MG1","LD X SF",1,14,3,3,49.63
"349","SL19-UCONN-S181","2020","2020_181","GOM","181","SL18-LD-2-FG2","LD","SL18-SF-19-MG1","SF","SL18-LD-2-FG2xSL18-SF-19-MG1","LD X SF",4,9,2,2,40.73
"220","SL18-UCONN-S48","2019","2019_48","GOM","48","SL18-LD-5-FG1","LD","SA18-CB-10-MG1","CB","SL18-LD-5-FG1xSA18-CB-10-MG1","LD X CB",1,19,4,2,44.8
"225","SL18-UCONN-S54","2019","2019_54","GOM","54","SL18-LD-9-FG3","LD","SL18-SF-17-MG1","SF","SL18-LD-9-FG3xSL18-SF-17-MG1","LD X SF",4,41,7,3,43.27
"395","SL19-UCONN-S224","2020","2020_224","GOM","224","SL18-LD-9-FG4","LD","SL18-OI-6-MG2","OI","SL18-LD-9-FG4xSL18-OI-6-MG2","LD X OI",4,53,9,3,33.2
"453","SL19-UCONN-S277","2020","2020_277","GOM","277","SL18-LL-9-FG2","LL","SA18-CB-5-MG3","CB","SL18-LL-9-FG2xSA18-CB-5-MG3","LL X CB",5,47,8,2,30.74
"443","SL19-UCONN-S268","2020","2020_268","GOM","268","SL18-NC-1-FG1","NC","SL18-NC-12-MG3","NC","SL18-NC-1-FG1xSL18-NC-12-MG3","NC X NC",5,37,7,3,41.57
"20","SL19-UCONN-S210","2020","2020_210","GOM","210","SL18-NC-10-FG1","NC","SL18-OI-11-MG4","OI","SL18-NC-10-FG1xSL18-OI-11-MG4","NC X OI",4,38,7,2,43.08
"285","SL19-UCONN-S112","2020","2020_112","GOM","112","SL18-NC-11-FG1","NC","SL18-NL-2-MG1","NL","SL18-NC-11-FG1xSL18-NL-2-MG1","NC X NL",2,59,10,2,39.13
"447","SL19-UCONN-S271","2020","2020_271","GOM","271","SL18-NC-15-FG3","NC","SL18-CC-1-MG2","CC","SL18-NC-15-FG3xSL18-CC-1-MG2","NC X CC",5,40,7,3,45.48
"232","SL18-UCONN-S60","2019","2019_60","GOM","60","SL18-NL-10-FG1","NL","SL18-OI-15-MG1","OI","SL18-NL-10-FG1xSL18-OI-15-MG1","NL X OI",1,18,3,3,47.16
"233","SL18-UCONN-S62","2019","2019_62","GOM","62","SL18-NL-10-FG1","NL","SL18-OI-7-MG1","OI","SL18-NL-10-FG1xSL18-OI-7-MG1","NL X OI",2,23,4,3,49.26
"234","SL18-UCONN-S63","2019","2019_63","GOM","63","SL18-NL-10-FG1","NL","SL18-SF-13-MG1","SF","SL18-NL-10-FG1xSL18-SF-13-MG1","NL X SF",4,29,5,3,49.95
"245","SL18-UCONN-S73","2019","2019_73","GOM","73","SL18-NL-2-FG1","NL","SA18-CB-1-MG2","CB","SL18-NL-2-FG1xSA18-CB-1-MG2","NL X CB",2,49,9,3,49.9
"10","SL18-UCONN-S76","2019","2019_76","GOM","76","SL18-NL-2-FG1","NL","SL18-SF-17-MG1","SF","SL18-NL-2-FG1xSL18-SF-17-MG1","NL X SF",3,12,2,3,44.77
"318","SL19-UCONN-S149","2020","2020_149","GOM","149","SL18-NL-2-FG3","NL","SA18-CB-4-MG1","CB","SL18-NL-2-FG3xSA18-CB-4-MG1","NL X CB",3,35,6,2,39.77
"13","SL18-UCONN-S82","2019","2019_82","GOM","82","SL18-NL-3-FG1","NL","SA18-CB-7-MG2","CB","SL18-NL-3-FG1xSA18-CB-7-MG2","NL X CB",3,15,3,3,47.37
"5","SL18-UCONN-S87","2019","2019_87","GOM","87","SL18-NL-3-FG2","NL","SL18-SF-17-MG2","SF","SL18-NL-3-FG2xSL18-SF-17-MG2","NL X SF",4,48,8,3,54.04
"375","SL19-UCONN-S205","2020","2020_205","GOM","205","SL18-NL-3-FG3","NL","SL18-NC-9-MG2","NC","SL18-NL-3-FG3xSL18-NC-9-MG2","NL X NC",4,33,6,3,43.04
"1","SL18-UCONN-S94","2019","2019_94","GOM","94","SL18-NL-6-FG1","NL","SA18-CB-3-MG3","CB","SL18-NL-6-FG1xSA18-CB-3-MG3","NL X CB",2,10,2,3,55.17
"265","SL18-UCONN-S95","2019","2019_95","GOM","95","SL18-NL-6-FG1","NL","SA18-CB-7-MG2","CB","SL18-NL-6-FG1xSA18-CB-7-MG2","NL X CB",2,35,6,3,49.9
"268","SL18-UCONN-S98","2019","2019_98","GOM","98","SL18-NL-6-FG1","NL","SL18-LD-3-MG2","LD","SL18-NL-6-FG1xSL18-LD-3-MG2","NL X LD",3,27,5,3,51.76
"9","SL18-UCONN-S101","2019","2019_101","GOM","101","SL18-NL-6-FG1","NL","SL18-OI-14-MG2","OI","SL18-NL-6-FG1xSL18-OI-14-MG2","NL X OI",1,8,2,3,47.51
"91","SL18-UCONN-S102","2019","2019_102","GOM","102","SL18-NL-6-FG1","NL","SL18-OI-15-MG1","OI","SL18-NL-6-FG1xSL18-OI-15-MG1","NL X OI",1,54,9,3,50.84
"92","SL18-UCONN-S103","2019","2019_103","GOM","103","SL18-NL-6-FG1","NL","SL18-OI-16-MG1","OI","SL18-NL-6-FG1xSL18-OI-16-MG1","NL X OI",1,26,5,3,45.59
"93","SL18-UCONN-S104","2019","2019_104","GOM","104","SL18-NL-6-FG1","NL","SL18-SF-17-MG1","SF","SL18-NL-6-FG1xSL18-SF-17-MG1","NL X SF",1,30,5,3,48.42
"412","SL19-UCONN-S24","2020","2020_24","GOM","24","SL18-NL-7-FG4","NL","SA18-CB-1-MG12","CB","SL18-NL-7-FG4xSA18-CB-1-MG12","NL X CB",1,27,5,2,36.63
"305","SL19-UCONN-S132","2020","2020_132","GOM","132","SL18-OD-5-FG1","OD","SL18-CC-8-MG2","CC","SL18-OD-5-FG1xSL18-CC-8-MG2","OD X CC",3,17,3,2,34.67
"35","SL19-UCONN-S141","2020","2020_141","GOM","141","SL18-OD-5-FG3","OD","SA18-CB-1-MG12","CB","SL18-OD-5-FG3xSA18-CB-1-MG12","OD X CB",3,27,5,3,35.95
"271","SL19-UCONN-S10","2020","2020_10","GOM","10","SL18-OI-11-FG3","OI","SL18-CC-1-MG3","CC","SL18-OI-11-FG3xSL18-CC-1-MG3","OI X CC",1,11,2,3,43.27
"391","SL19-UCONN-S220","2020","2020_220","GOM","220","SL18-OI-11-FG3","OI","SL18-NC-2-MG1","NC","SL18-OI-11-FG3xSL18-NC-2-MG1","OI X NC",4,49,9,3,43.91
"116","SL18-UCONN-S125","2019","2019_125","GOM","125","SL18-OI-15-FG1","OI","SA18-CB-2-MG3","CB","SL18-OI-15-FG1xSA18-CB-2-MG3","OI X CB",2,11,2,3,46.67
"310","SL19-UCONN-S138","2020","2020_138","GOM","138","SL18-OI-15-FG1","OI","SA18-CB-2-MG3","CB","SL18-OI-15-FG1xSA18-CB-2-MG3","OI X CB",3,24,4,2,38.35
"14","SL18-UCONN-S128","2019","2019_128","GOM","128","SL18-OI-15-FG1","OI","SL18-SF-15-MG1","SF","SL18-OI-15-FG1xSL18-SF-15-MG1","OI X SF",1,46,8,3,44.7
"22","SL19-UCONN-S92","2020","2020_92","GOM","92","SL18-OI-16-FG2","OI","SL18-OI-18-MG1","OI","SL18-OI-16-FG2xSL18-OI-18-MG1","OI X OI",2,38,7,3,45.12
"6","SL18-UCONN-S136","2019","2019_136","GOM","136","SL18-OI-16-FG3","OI","SA18-CB-4-MG3","CB","SL18-OI-16-FG3xSA18-CB-4-MG3","OI X CB",3,10,2,3,47.61
"133","SL18-UCONN-S142","2019","2019_142","GOM","142","SL18-OI-16-FG3","OI","SL18-SF-17-MG2","SF","SL18-OI-16-FG3xSL18-SF-17-MG2","OI X SF",1,11,2,3,41.35
"4","SL18-UCONN-S143","2019","2019_143","GOM","143","SL18-OI-17-FG1","OI","SL18-SF-13-MG2","SF","SL18-OI-17-FG1xSL18-SF-13-MG2","OI X SF",2,15,3,3,47.95
"519","SL19-UCONN-S34","2020","2020_34","GOM","34","SL18-OI-17-FG4","OI","SL18-CC-7-MG1","CC","SL18-OI-17-FG4xSL18-CC-7-MG1","OI X CC",1,38,7,3,48.18
"28","SL19-UCONN-S156","2020","2020_156","GOM","156","SL18-OI-17-FG4","OI","SL18-JS-6-MG2","JS","SL18-OI-17-FG4xSL18-JS-6-MG2","OI X JS",3,42,7,3,42.52
"135","SL18-UCONN-S146","2019","2019_146","GOM","146","SL18-OI-18-FG1","OI","SL18-OI-9-MG3","OI","SL18-OI-18-FG1xSL18-OI-9-MG3","OI X OI",1,4,1,3,47.41
"136","SL18-UCONN-S147","2019","2019_147","GOM","147","SL18-OI-18-FG2","OI","SA18-CB-7-MG1","CB","SL18-OI-18-FG2xSA18-CB-7-MG1","OI X CB",2,32,6,3,42.42
"145","SL18-UCONN-S155","2019","2019_155","GOM","155","SL18-OI-18-FG5","OI","SL18-LD-2-MG1","LD","SL18-OI-18-FG5xSL18-LD-2-MG1","OI X LD",3,34,6,3,44.87
"7","SL18-UCONN-S157","2019","2019_157","GOM","157","SL18-OI-18-FG5","OI","SL18-SF-15-MG2","SF","SL18-OI-18-FG5xSL18-SF-15-MG2","OI X SF",3,54,9,3,47.34
"29","SL18-UCONN-S159","2019","2019_159","GOM","159","SL18-OI-18-FG6","OI","SL18-NL-6-MG1","NL","SL18-OI-18-FG6xSL18-NL-6-MG1","OI X NL",3,48,8,3,36.77
"440","SL19-UCONN-S265","2020","2020_265","GOM","265","SL18-OI-4-FG2","OI","SA18-CB-7-MG2","CB","SL18-OI-4-FG2xSA18-CB-7-MG2","OI X CB",5,34,6,3,45.01
"337","SL19-UCONN-S169","2020","2020_169","GOM","169","SL18-OI-4-FG2","OI","SL18-NC-15-MG1","NC","SL18-OI-4-FG2xSL18-NC-15-MG1","OI X NC",3,57,10,3,43.47
"276","SL19-UCONN-S104","2020","2020_104","GOM","104","SL18-OI-5-FG5","OI","SA18-CB-7-MG3","CB","SL18-OI-5-FG5xSA18-CB-7-MG3","OI X CB",2,51,9,2,29.48
"17","SL18-UCONN-S176","2019","2019_176","GOM","176","SL18-OI-6-FG1","OI","SL18-LD-13-MG2","LD","SL18-OI-6-FG1xSL18-LD-13-MG2","OI X LD",2,17,3,2,39.43
"37","SL19-UCONN-S176","2020","2020_176","GOM","176","SL18-OI-6-FG2","OI","SA18-CB-4-MG2","CB","SL18-OI-6-FG2xSA18-CB-4-MG2","OI X CB",4,2,1,3,36.36
"21","SL19-UCONN-S185","2020","2020_185","GOM","185","SL18-OI-6-FG2","OI","SL18-LD-2-MG2","LD","SL18-OI-6-FG2xSL18-LD-2-MG2","OI X LD",4,13,3,3,41.14
"376","SL19-UCONN-S206","2020","2020_206","GOM","206","SL18-OI-6-FG3","OI","SL18-CC-11-MG5","CC","SL18-OI-6-FG3xSL18-CC-11-MG5","OI X CC",4,34,6,3,41.96
"18","SL18-UCONN-S186","2019","2019_186","GOM","186","SL18-OI-9-FG1","OI","SL18-LL-9-MG2","LL","SL18-OI-9-FG1xSL18-LL-9-MG2","OI X LL",2,50,9,3,44.13
"399","SL19-UCONN-S228","2020","2020_228","GOM","228","SL18-OI-9-FG4","OI","SA18-CB-1-MG12","CB","SL18-OI-9-FG4xSA18-CB-1-MG12","OI X CB",4,57,10,3,30.32
"36","SL19-UCONN-S144","2020","2020_144","GOM","144","SL18-SF-13-FG1","SF","SA18-CB-7-MG1","CB","SL18-SF-13-FG1xSA18-CB-7-MG1","SF X CB",3,30,5,2,34.49
"25","SL19-UCONN-S63","2020","2020_63","GOM","63","SL18-SF-13-FG2","SF","SA18-CB-2-MG3","CB","SL18-SF-13-FG2xSA18-CB-2-MG3","SF X CB",2,6,1,3,43.35
"560","SL19-UCONN-S45","2020","2020_45","GOM","45","SL18-SF-13-FG2","SF","SL18-JS-11-MG3","JS","SL18-SF-13-FG2xSL18-JS-11-MG3","SF X JS",1,49,9,3,38.83
"2","SL19-UCONN-S278","2020","2020_278","GOM","278","SL18-SF-17-FG2","SF","SA18-CB-7-MG3","CB","SL18-SF-17-FG2xSA18-CB-7-MG3","SF X CB",5,48,8,3,38.3
"181","SL18-UCONN-S192","2019","2019_192","GOM","192","SL18-SF-17-FG3","SF","SA18-CB-10-MG1","CB","SL18-SF-17-FG3xSA18-CB-10-MG1","SF X CB",1,6,1,3,44.57
"8","SL18-UCONN-S194","2019","2019_194","GOM","194","SL18-SF-17-FG3","SF","SL18-LD-2-MG1","LD","SL18-SF-17-FG3xSL18-LD-2-MG1","SF X LD",4,35,6,2,44.27
"185","SL18-UCONN-S197","2019","2019_197","GOM","197","SL18-SF-17-FG3","SF","SL18-NL-9-MG1","NL","SL18-SF-17-FG3xSL18-NL-9-MG1","SF X NL",4,51,9,3,47.3
"186","SL18-UCONN-S198","2019","2019_198","GOM","198","SL18-SF-17-FG3","SF","SL18-OI-7-MG1","OI","SL18-SF-17-FG3xSL18-OI-7-MG1","SF X OI",2,52,9,3,46.76
"187","SL18-UCONN-S199","2019","2019_199","GOM","199","SL18-SF-17-FG3","SF","SL18-OI-9-MG3","OI","SL18-SF-17-FG3xSL18-OI-9-MG3","SF X OI",2,53,9,3,48.13
