"","crossID","femaPar","femaParLoc","malePar","maleParLoc","CrossLoc","Region","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","Order_1","plotNo","Year","Crosses","CrossLoc.1","popChk","withinLoc","isSelf"
"1","SL20_UCONN_S1","SL18-JS-19-FG5","JS","SL18-OI-4-MG1","OI","JS x OI","GOM",NA,NA,"1",1,"1",2,9.2,0.735,12.52,10.26039495,1.284294333,93.75,"1","2021_1","2021","SL18-JS-19-FG5xSL18-OI-4-MG1","JS x OI","ES","0","0"
"3","SL20_UCONN_S3","SA18-CB-7-FG1","CB","SL18-LD-1-MG1","LD","CB x LD","GOM",NA,NA,"1",3,"1",3,14.7,0.82,17.93,10.78329476,1.933102842,175,"3","2021_3","2021","SA18-CB-7-FG1xSL18-LD-1-MG1","CB x LD","ES","0","0"
"4","SL20_UCONN_S4","SL18-UCONN-S157-FG2","UCONN","SL18-OI-17-MG3","OI","UCONN x OI","GOM",NA,NA,"1",4,"1",2,11.26,0.83,13.57,11.68795731,1.585619269,237.5,"4","2021_4","2021","SL18-UCONN-S157-FG2xSL18-OI-17-MG3","UCONN x OI","ES","0","0"
"6","SL20_UCONN_S6","SL18-CC-3-FG1","CC","SL18-OI-7-MG2","OI","CC x OI","GOM",NA,NA,"1",6,"1",3,18.12,0.825,21.96,10.1218999,2.223137288,131.25,"6","2021_6","2021","SL18-CC-3-FG1xSL18-OI-7-MG2","CC x OI","ES","0","0"
"9","SL20_UCONN_S9","SL18-JS-5-FG1","JS","SL18-CC-7-MG1","CC","JS x CC","GOM",NA,NA,"1",9,"1",3,7.68,0.77,9.97,9.658947425,0.963385925,287.5,"9","2021_9","2021","SL18-JS-5-FG1xSL18-CC-7-MG1","JS x CC","ES","0","0"
"10","SL20_UCONN_S10","SL18-UCONN-S142-FG3","UCONN","SL18-OI-15-MG1","OI","UCONN x OI","GOM",NA,NA,"1",10,"1",3,13.19,0.815,16.18,10.25326097,1.659392788,106.25,"10","2021_10","2021","SL18-UCONN-S142-FG3xSL18-OI-15-MG1","UCONN x OI","ES","0","0"
"18","SL20_UCONN_S18","SA18-CB-10-FG6","CB","SL18-NC-2-MG1","NC","CB x NC","GOM",NA,NA,"1",18,"2",3,24.42,0.85,28.73,14.36224994,4.126189925,562.5,"18","2021_18","2021","SA18-CB-10-FG6xSL18-NC-2-MG1","CB x NC","ES","0","0"
"21","SL20_UCONN_S20","SL18-UCONN-S57-FG2","UCONN","SL18-OI-11-MG3","OI","UCONN x OI","GOM",NA,NA,"1",21,"2",3,11.72,0.835,14.04,9.055777831,1.271062469,181.25,"20","2021_20","2021","SL18-UCONN-S57-FG2xSL18-OI-11-MG3","UCONN x OI","ES","0","0"
"22","SL20_UCONN_S21","SL18-CC-12-FG2","CC","SA18-CB-7-MG1","CB","CC x CB","GOM",NA,NA,"1",22,"2",3,19.76,0.845,23.38,10.42048896,2.436791264,331.25,"21","2021_21","2021","SL18-CC-12-FG2xSA18-CB-7-MG1","CC x CB","ES","0","0"
"27","SL20_UCONN_S26","SL18-CC-12-FG3","CC","SL18-JS-6-MG1","JS","CC x JS","GOM",NA,NA,"1",27,"3",3,14.27,0.85,16.79,9.161989917,1.538136425,200,"26","2021_26","2021","SL18-CC-12-FG3xSL18-JS-6-MG1","CC x JS","ES","0","0"
"29","SL20_UCONN_S28","SL18-CC-5-FG2","CC","SL18-NC-9-MG2","NC","CC x NC","GOM",NA,NA,"1",29,"3",3,15.2,0.9,16.89,9.677447237,1.634413311,350,"28","2021_28","2021","SL18-CC-5-FG2xSL18-NC-9-MG2","CC x NC","ES","0","0"
"40","SL20_UCONN_S38","SL18-JS-5-FG2","JS","SL18-CC-2-MG6","CC","JS x CC","GOM",NA,NA,"1",40,"4",3,12.6,0.871,14.47,9.418398398,1.362477839,212.5,"38","2021_38","2021","SL18-JS-5-FG2xSL18-CC-2-MG6","JS x CC","ES","0","0"
"45","SL20_UCONN_S43","SL18-UCONN-S94-FG3","UCONN","SL18-OI-15-MG1","OI","UCONN x OI","GOM",NA,NA,"1",45,"5",3,7.82,0.815,9.6,9.771431088,0.937577805,350,"43","2021_43","2021","SL18-UCONN-S94-FG3xSL18-OI-15-MG1","UCONN x OI","ES","0","0"
"46","SL20_UCONN_S44","SL18-UCONN-S142-FG2","UCONN","SL18-OI-15-MG1","OI","UCONN x OI","GOM",NA,NA,"1",46,"5",3,9.17,0.76,12.07,9.963171733,1.202135326,112.5,"44","2021_44","2021","SL18-UCONN-S142-FG2xSL18-OI-15-MG1","UCONN x OI","ES","0","0"
"56","SL20_UCONN_S54","SA18-CB-10-FG6","CB","SL18-OI-15-MG2","OI","CB x OI","GOM",NA,NA,"1",56,"6",3,15.4,0.87,17.7,12.00208362,2.124506756,256.25,"54","2021_54","2021","SA18-CB-10-FG6xSL18-OI-15-MG2","CB x OI","ES","0","0"
"65","SL20_UCONN_S62","SL18-JS-6-FG2","JS","SL18-NC-2-MG3","NC","JS x NC","GOM",NA,NA,"1",65,"6",2,4.42,0.885,4.99,10.49884799,0.524349245,93.75,"62","2021_62","2021","SL18-JS-6-FG2xSL18-NC-2-MG3","JS x NC","ES","0","0"
"66","SL20_UCONN_S63","SL18-CC-3-FG2","CC","SL18-OD-6-MG1","OD","CC x OD","GOM",NA,NA,"1",66,"6",3,7.99,0.69,11.58,9.57938088,1.10926454,293.75,"63","2021_63","2021","SL18-CC-3-FG2xSL18-OD-6-MG1","CC x OD","ES","0","0"
"72","SL20_UCONN_S68","SA18-CB-4-FG6","CB","SL18-NC-2-MG3","NC","CB x NC","GOM",NA,NA,"1",72,"7",3,5.17,0.802,6.45,11.04962552,0.712301296,125,"68","2021_68","2021","SA18-CB-4-FG6xSL18-NC-2-MG3","CB x NC","ES","0","0"
"73","SL20_UCONN_S69","SL18-UCONN-S94-FG3","UCONN","SL18-OI-17-MG3","OI","UCONN x OI","GOM",NA,NA,"1",73,"7",3,9.78,0.811,12.06,10.55559869,1.2729193,237.5,"69","2021_69","2021","SL18-UCONN-S94-FG3xSL18-OI-17-MG3","UCONN x OI","ES","0","0"
"74","SL20_UCONN_S70","SL18-UCONN-S2-FG3","UCONN","SL18-NC-2-MG3","NC","UCONN x NC","GOM",NA,NA,"1",74,"7",3,4.83,0.88,5.49,10.18958979,0.55926953,181.25,"70","2021_70","2021","SL18-UCONN-S2-FG3xSL18-NC-2-MG3","UCONN x NC","ES","0","0"
"76","SL20_UCONN_S72","SA18-CB-4-FG6","CB","SL18-NC-2-MG1","NC","CB x NC","GOM",NA,NA,"2",1,"1",3,21.07,0.885,23.81,10.99052121,2.616613355,581.25,"72","2021_72","2021","SA18-CB-4-FG6xSL18-NC-2-MG1","CB x NC","ES","0","0"
"79","SL20_UCONN_S74","SL18-UCONN-S142-FG1","UCONN","SL18-OI-17-MG3","OI","UCONN x OI","GOM",NA,NA,"2",4,"1",3,6.42,0.866,7.41,10.07486946,0.746889861,87.5,"74","2021_74","2021","SL18-UCONN-S142-FG1xSL18-OI-17-MG3","UCONN x OI","ES","0","0"
"80","SL20_UCONN_S75","SL18-CC-9-FG1","CC","SL18-OI-18-MG1","OI","CC x OI","GOM",NA,NA,"2",5,"1",3,10.74,0.86,12.49,10.08603378,1.259581427,187.5,"75","2021_75","2021","SL18-CC-9-FG1xSL18-OI-18-MG1","CC x OI","ES","0","0"
"82","SL20_UCONN_S77","SL18-SF-13-FG2","SF","SL18-NC-2-MG3","NC","SF x NC","GOM",NA,NA,"2",7,"1",2,4.36,0.83,5.25,10.70934967,0.562563428,68.75,"77","2021_77","2021","SL18-SF-13-FG2xSL18-NC-2-MG3","SF x NC","ES","0","0"
"83","SL20_UCONN_S78","SL18-CC-1-FG2","CC","SL18-OI-11-MG2","OI","CC x OI","GOM",NA,NA,"2",8,"1",3,21.5,0.873,24.63,11.09749938,2.733061129,200,"78","2021_78","2021","SL18-CC-1-FG2xSL18-OI-11-MG2","CC x OI","ES","0","0"
"85","SL20_UCONN_S80","SL18-CC-3-FG2","CC","SL18-OI-11-MG3","OI","CC x OI","GOM",NA,NA,"2",10,"1",3,20.9,0.81,25.8,8.925075655,2.302889891,281.25,"80","2021_80","2021","SL18-CC-3-FG2xSL18-OI-11-MG3","CC x OI","ES","0","0"
"96","SL20_UCONN_S90","SL18-JS-16-FG1","JS","SL18-CC-7-MG1","CC","JS x CC","GOM",NA,NA,"2",21,"2",2,6.06,0.86,7.05,9.760544681,0.687777916,75,"90","2021_90","2021","SL18-JS-16-FG1xSL18-CC-7-MG1","JS x CC","ES","0","0"
"98","SL20_UCONN_S92","SL18-JS-9-FG3","JS","SL18-NL-2-MG1","NL","JS x NL","GOM",NA,NA,"2",23,"3",2,2.87,0.79,3.63,10.69698422,0.388611958,81.25,"92","2021_92","2021","SL18-JS-9-FG3xSL18-NL-2-MG1","JS x NL","ES","0","0"
"102","SL20_UCONN_S96","SL18-NC-15-FG2","NC","SL18-OI-11-MG2","OI","NC x OI","GOM",NA,NA,"2",27,"3",3,9.2,0.861,10.69,9.965033679,1.064788732,131.25,"96","2021_96","2021","SL18-NC-15-FG2xSL18-OI-11-MG2","NC x OI","ES","0","0"
"107","SL20_UCONN_S100","SL18-CC-1-FG2","CC","SL18-CC-2-MG6","CC","CC x CC","GOM",NA,NA,"2",32,"3",2,5.51,0.83,6.64,10.11040314,0.671184594,100,"100","2021_100","2021","SL18-CC-1-FG2xSL18-CC-2-MG6","CC x CC","ES","1","0"
"112","SL20_UCONN_S105","SA18-CB-2-FG3","CB","SL18-JS-19-MG1","JS","CB x JS","GOM",NA,NA,"2",37,"4",3,9.57,0.72,13.29,11.2090151,1.489864924,275,"105","2021_105","2021","SA18-CB-2-FG3xSL18-JS-19-MG1","CB x JS","ES","0","0"
"114","SL20_UCONN_S107","SL18-CC-5-FG3","CC","SL18-NC-2-MG1","NC","CC x NC","GOM",NA,NA,"2",39,"4",3,8.51,0.815,10.44,9.700885797,1.012939118,168.75,"107","2021_107","2021","SL18-CC-5-FG3xSL18-NC-2-MG1","CC x NC","ES","0","0"
"116","SL20_UCONN_S109","SL18-JS-5-FG1","JS","SL18-OI-18-MG4","OI","JS x OI","GOM",NA,NA,"2",41,"4",3,9.13,0.795,11.48,10.24346114,1.176387424,237.5,"109","2021_109","2021","SL18-JS-5-FG1xSL18-OI-18-MG4","JS x OI","ES","0","0"
"123","SL20_UCONN_S115","SL18-NC-10-FG1","NC","SL18-OI-11-MG4","OI","NC x OI","GOM",NA,NA,"2",48,"5",2,1.99,0.79,2.52,12.54426278,0.315988392,56.25,"115","2021_115","2021","SL18-NC-10-FG1xSL18-OI-11-MG4","NC x OI","ES","0","0"
"127","SL20_UCONN_S119","SL18-CC-8-FG2","CC","SL18-JS-5-MG3","JS","CC x JS","GOM",NA,NA,"2",52,"5",3,8.49,0.86,9.87,10.45185231,1.031816583,150,"119","2021_119","2021","SL18-CC-8-FG2xSL18-JS-5-MG3","CC x JS","ES","0","0"
"131","SL20_UCONN_S123","SL18-JS-5-FG2","JS","SL18-CC-7-MG2","CC","JS x CC","GOM",NA,NA,"2",56,"6",2,3.79,0.9,4.21,10.53197583,0.443513205,56.25,"123","2021_123","2021","SL18-JS-5-FG2xSL18-CC-7-MG2","JS x CC","ES","0","0"
"135","SL20_UCONN_S127","SL18-CC-6-FG1","CC","SL18-OD-10-MG1","OD","CC x OD","GOM",NA,NA,"2",60,"6",3,14.7,0.83,17.71,12.10332322,2.143600619,81.25,"127","2021_127","2021","SL18-CC-6-FG1xSL18-OD-10-MG1","CC x OD","ES","0","0"
"138","SL20_UCONN_S130","SL18-CC-3-FG2","CC","SL18-OD-6-MG1","OD","CC x OD","GOM",NA,NA,"2",63,"6",3,12.75,0.84,15.18,11.40826843,1.731612172,175,"130","2021_130","2021","SL18-CC-3-FG2xSL18-OD-6-MG1","CC x OD","ES","0","0"
"141","SL20_UCONN_S133","SL18-UCONN-S2-FG1","UCONN","SL18-NC-2-MG3","NC","UCONN x NC","GOM",NA,NA,"2",66,"6",3,12.78,0.88,14.52,10.17888335,1.478251469,381.25,"133","2021_133","2021","SL18-UCONN-S2-FG1xSL18-NC-2-MG3","UCONN x NC","ES","0","0"
"143","SL20_UCONN_S134","SL18-CC-3-FG2","CC","SL18-OI-11-MG3","OI","CC x OI","GOM",NA,NA,"2",68,"7",3,12.11,0.755,16.04,8.788939598,1.40972263,206.25,"134","2021_134","2021","SL18-CC-3-FG2xSL18-OI-11-MG3","CC x OI","ES","0","0"
"144","SL20_UCONN_S135","SL18-JS-19-FG3","JS","SL18-OI-7-MG2","OI","JS x OI","GOM",NA,NA,"2",69,"7",2,7.27,0.855,8.5,9.489152498,0.806855423,81.25,"135","2021_135","2021","SL18-JS-19-FG3xSL18-OI-7-MG2","JS x OI","ES","0","0"
"145","SL20_UCONN_S136","SL18-NC-12-FG2","NC","SL18-OD-6-MG2","OD","NC x OD","GOM",NA,NA,"2",70,"7",2,2.5,0.84,2.98,9.941204068,0.295869169,87.5,"136","2021_136","2021","SL18-NC-12-FG2xSL18-OD-6-MG2","NC x OD","ES","0","0"
"149","SL20_UCONN_S140","SL18-UCONN-S142-FG1","UCONN","SL18-OI-15-MG1","OI","UCONN x OI","GOM",NA,NA,"2",74,"7",2,8.88,0.915,9.7,10.6524033,1.033807009,75,"140","2021_140","2021","SL18-UCONN-S142-FG1xSL18-OI-15-MG1","UCONN x OI","ES","0","0"
"150","SL20_UCONN_S141","SL18-CC-6-FG3","CC","SL18-CC-7-MG1","CC","CC x CC","GOM",NA,NA,"3",1,"1",2,9.45,0.893,10.58,9.683197586,1.02470568,275,"141","2021_141","2021","SL18-CC-6-FG3xSL18-CC-7-MG1","CC x CC","ES","1","0"
"151","SL20_UCONN_S142","SL18-LD-13-FG2","LD","SL18-OD-3-MG1","OD","LD x OD","GOM",NA,NA,"3",2,"1",2,9.18,0.89,10.31,9.76447601,1.007167301,62.5,"142","2021_142","2021","SL18-LD-13-FG2xSL18-OD-3-MG1","LD x OD","ES","0","0"
"153","SL20_UCONN_S144","SL18-SF-13-FG2","SF","SL18-UCONN-S5-MG1","UCONN","SF x UCONN","GOM",NA,NA,"3",4,"1",3,19.2,0.855,22.46,11.39787212,2.55952216,381.25,"144","2021_144","2021","SL18-SF-13-FG2xSL18-UCONN-S5-MG1","SF x UCONN","ES","0","0"
